,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,credit_risk,cluster
92,no checking,12,critical/other existing credit,radio/tv,797,no known savings,>=7,4,male div/sep,none,3,life insurance,32.44618891398711,bank,own,1,high qualif/self emp/mgmt,2,none,yes,bad,0
107,0<=X<200,12,existing paid,new car,6078,<100,4<=X<7,2,male div/sep,none,2,car,32.44618891398711,none,own,1,high qualif/self emp/mgmt,1,none,yes,good,0
110,0<=X<200,6,delayed previously,business,1449,100<=X<500,>=7,1,male div/sep,none,2,car,32.44618891398711,bank,own,2,high qualif/self emp/mgmt,2,none,yes,good,0
165,no checking,6,existing paid,furniture/equipment,2978,500<=X<1000,1<=X<4,1,male div/sep,none,2,car,32.44618891398711,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good,0
169,0<=X<200,24,critical/other existing credit,business,1935,<100,>=7,4,male div/sep,none,4,real estate,32.44618891398711,none,own,2,high qualif/self emp/mgmt,1,yes,yes,bad,0
173,0<=X<200,8,existing paid,radio/tv,1414,<100,1<=X<4,4,male div/sep,guarantor,2,real estate,32.44618891398711,none,own,1,high qualif/self emp/mgmt,1,none,no,good,0
185,no checking,15,critical/other existing credit,radio/tv,1360,<100,1<=X<4,4,male div/sep,none,2,life insurance,32.44618891398711,none,own,2,high qualif/self emp/mgmt,1,none,yes,good,0
189,0<=X<200,18,no credits/all paid,furniture/equipment,3244,<100,1<=X<4,1,male div/sep,none,4,car,32.44618891398711,bank,own,2,high qualif/self emp/mgmt,1,yes,yes,good,0
210,no checking,9,critical/other existing credit,radio/tv,3074,no known savings,1<=X<4,1,male div/sep,none,2,real estate,32.44618891398711,none,own,2,high qualif/self emp/mgmt,2,none,yes,good,0
223,no checking,24,delayed previously,business,2978,no known savings,1<=X<4,4,male div/sep,none,4,real estate,32.44618891398711,none,own,2,high qualif/self emp/mgmt,2,yes,yes,good,0
264,no checking,10,critical/other existing credit,new car,1231,<100,>=7,3,male div/sep,none,4,real estate,32.44618891398711,none,own,2,high qualif/self emp/mgmt,2,none,no,good,0
270,no checking,18,existing paid,new car,2662,no known savings,4<=X<7,4,male div/sep,none,3,life insurance,32.44618891398711,none,own,1,high qualif/self emp/mgmt,1,none,no,good,0
275,no checking,9,existing paid,radio/tv,2697,<100,1<=X<4,1,male div/sep,none,2,real estate,32.44618891398711,none,own,1,high qualif/self emp/mgmt,2,none,yes,good,0
278,no checking,6,existing paid,furniture/equipment,4611,<100,<1,1,male div/sep,none,4,life insurance,32.44618891398711,none,own,1,high qualif/self emp/mgmt,1,none,yes,bad,0
287,0<=X<200,48,delayed previously,other,7582,100<=X<500,unemployed,2,male div/sep,none,4,no known property,32.44618891398711,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,good,0
299,0<=X<200,21,critical/other existing credit,furniture/equipment,2745,>=1000,4<=X<7,3,male div/sep,none,2,car,32.44618891398711,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good,0
307,<0,12,existing paid,radio/tv,727,100<=X<500,<1,4,male div/sep,none,3,no known property,32.44618891398711,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad,0
315,<0,36,all paid,furniture/equipment,2746,<100,>=7,4,male div/sep,none,4,car,32.44618891398711,bank,own,1,high qualif/self emp/mgmt,1,none,yes,bad,0
318,no checking,12,critical/other existing credit,education,701,<100,1<=X<4,4,male div/sep,none,2,car,32.44618891398711,none,own,2,high qualif/self emp/mgmt,1,none,yes,good,0
339,0<=X<200,10,existing paid,furniture/equipment,1521,<100,1<=X<4,4,male div/sep,none,2,car,32.44618891398711,none,own,1,high qualif/self emp/mgmt,1,none,yes,good,0
349,0<=X<200,9,critical/other existing credit,education,1136,>=1000,>=7,4,male div/sep,none,3,no known property,32.44618891398711,none,for free,2,high qualif/self emp/mgmt,2,none,yes,bad,0
371,no checking,18,critical/other existing credit,radio/tv,6070,<100,>=7,3,male div/sep,none,4,car,32.44618891398711,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good,0
393,<0,6,critical/other existing credit,radio/tv,1957,<100,4<=X<7,1,male div/sep,none,4,car,32.44618891398711,none,own,1,high qualif/self emp/mgmt,1,none,yes,good,0
394,no checking,9,critical/other existing credit,furniture/equipment,2406,<100,unemployed,2,male div/sep,none,3,car,32.44618891398711,none,own,1,high qualif/self emp/mgmt,1,none,yes,good,0
395,0<=X<200,39,delayed previously,education,11760,100<=X<500,4<=X<7,2,male div/sep,none,3,no known property,32.44618891398711,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,good,0
416,<0,12,existing paid,new car,2579,<100,<1,4,male div/sep,none,1,real estate,32.44618891398711,none,own,1,high qualif/self emp/mgmt,2,none,yes,bad,0
419,0<=X<200,18,existing paid,new car,1042,no known savings,1<=X<4,4,male div/sep,none,2,life insurance,32.44618891398711,none,own,1,high qualif/self emp/mgmt,1,none,yes,bad,0
433,no checking,24,critical/other existing credit,repairs,2058,<100,1<=X<4,4,male div/sep,none,2,real estate,32.44618891398711,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good,0
454,<0,24,existing paid,new car,4817,<100,4<=X<7,2,male div/sep,co applicant,3,life insurance,32.44618891398711,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad,0
459,no checking,18,existing paid,radio/tv,4594,<100,<1,3,male div/sep,none,2,car,32.44618891398711,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good,0
474,0<=X<200,18,critical/other existing credit,radio/tv,1245,<100,1<=X<4,4,male div/sep,none,2,car,32.44618891398711,none,own,1,high qualif/self emp/mgmt,1,none,yes,bad,0
511,no checking,36,existing paid,used car,4686,<100,1<=X<4,2,male div/sep,none,2,no known property,32.44618891398711,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,good,0
526,no checking,15,critical/other existing credit,education,1532,100<=X<500,1<=X<4,4,male div/sep,none,3,car,32.44618891398711,none,own,1,high qualif/self emp/mgmt,1,none,yes,good,0
528,<0,36,existing paid,radio/tv,2302,<100,1<=X<4,4,male div/sep,none,4,car,32.44618891398711,none,rent,1,high qualif/self emp/mgmt,1,none,yes,bad,0
530,0<=X<200,36,existing paid,education,2273,<100,4<=X<7,3,male div/sep,none,1,car,32.44618891398711,none,own,2,high qualif/self emp/mgmt,2,none,yes,good,0
535,>=200,21,critical/other existing credit,education,2319,<100,<1,2,male div/sep,none,1,car,32.44618891398711,none,rent,1,high qualif/self emp/mgmt,1,none,yes,bad,0
547,no checking,24,existing paid,radio/tv,1552,<100,4<=X<7,3,male div/sep,none,1,car,32.44618891398711,bank,own,1,high qualif/self emp/mgmt,2,none,yes,good,0
559,0<=X<200,18,critical/other existing credit,furniture/equipment,1928,<100,<1,2,male div/sep,none,2,real estate,32.44618891398711,none,own,2,high qualif/self emp/mgmt,1,none,yes,bad,0
569,<0,48,existing paid,radio/tv,6758,<100,1<=X<4,3,male div/sep,none,2,car,32.44618891398711,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad,0
577,no checking,24,critical/other existing credit,education,1927,no known savings,1<=X<4,3,male div/sep,none,2,car,32.44618891398711,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good,0
583,0<=X<200,36,existing paid,repairs,2384,<100,<1,4,male div/sep,none,1,no known property,32.44618891398711,none,rent,1,high qualif/self emp/mgmt,1,none,yes,bad,0
595,0<=X<200,6,all paid,new car,931,100<=X<500,<1,1,male div/sep,none,1,life insurance,32.44618891398711,stores,own,1,high qualif/self emp/mgmt,1,none,yes,bad,0
598,no checking,18,critical/other existing credit,new car,2775,<100,4<=X<7,2,male div/sep,none,2,life insurance,32.44618891398711,bank,own,2,high qualif/self emp/mgmt,1,none,yes,bad,0
599,no checking,24,delayed previously,business,3863,<100,1<=X<4,1,male div/sep,none,2,no known property,32.44618891398711,none,for free,1,high qualif/self emp/mgmt,1,none,yes,good,0
621,no checking,18,critical/other existing credit,new car,1530,<100,1<=X<4,3,male div/sep,none,2,life insurance,32.44618891398711,bank,own,2,high qualif/self emp/mgmt,1,none,yes,bad,0
646,<0,30,no credits/all paid,furniture/equipment,4583,<100,1<=X<4,2,male div/sep,guarantor,2,real estate,32.44618891398711,none,own,2,high qualif/self emp/mgmt,1,none,yes,good,0
671,no checking,36,existing paid,business,5742,100<=X<500,4<=X<7,2,male div/sep,none,2,car,32.44618891398711,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good,0
676,no checking,24,critical/other existing credit,furniture/equipment,5150,<100,>=7,4,male div/sep,none,4,car,32.44618891398711,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good,0
684,0<=X<200,36,delayed previously,business,9857,100<=X<500,4<=X<7,1,male div/sep,none,3,life insurance,32.44618891398711,none,own,2,high qualif/self emp/mgmt,2,yes,yes,good,0
689,<0,12,existing paid,new car,3651,>=1000,1<=X<4,1,male div/sep,none,3,life insurance,32.44618891398711,none,own,1,high qualif/self emp/mgmt,2,none,yes,good,0
710,no checking,18,critical/other existing credit,radio/tv,629,500<=X<1000,>=7,4,male div/sep,none,3,life insurance,32.44618891398711,bank,own,2,high qualif/self emp/mgmt,1,yes,yes,good,0
717,no checking,18,existing paid,radio/tv,1505,<100,1<=X<4,4,male div/sep,none,2,no known property,32.44618891398711,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,good,0
718,>=200,24,critical/other existing credit,radio/tv,3148,no known savings,1<=X<4,3,male div/sep,none,2,car,32.44618891398711,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good,0
719,0<=X<200,20,no credits/all paid,used car,6148,100<=X<500,>=7,3,male div/sep,none,4,car,32.44618891398711,bank,own,2,high qualif/self emp/mgmt,1,yes,yes,good,0
740,<0,24,all paid,new car,2325,100<=X<500,4<=X<7,2,male div/sep,none,3,car,32.44618891398711,bank,own,1,high qualif/self emp/mgmt,1,none,yes,good,0
749,no checking,15,existing paid,used car,3029,<100,4<=X<7,2,male div/sep,none,2,car,32.44618891398711,none,own,1,high qualif/self emp/mgmt,1,none,yes,good,0
758,no checking,24,existing paid,new car,1393,<100,1<=X<4,2,male div/sep,guarantor,2,real estate,32.44618891398711,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good,0
766,<0,30,existing paid,furniture/equipment,3108,<100,<1,2,male div/sep,none,4,life insurance,32.44618891398711,none,own,1,high qualif/self emp/mgmt,1,none,yes,bad,0
767,no checking,10,existing paid,used car,2901,no known savings,<1,1,male div/sep,none,4,real estate,32.44618891398711,none,rent,1,high qualif/self emp/mgmt,1,none,yes,good,0
782,0<=X<200,12,no credits/all paid,retraining,1410,<100,1<=X<4,2,male div/sep,none,2,real estate,32.44618891398711,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good,0
794,no checking,24,existing paid,furniture/equipment,3062,500<=X<1000,>=7,4,male div/sep,none,3,no known property,32.44618891398711,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,good,0
826,<0,18,critical/other existing credit,new car,3966,<100,>=7,1,male div/sep,none,4,real estate,32.44618891398711,bank,rent,3,high qualif/self emp/mgmt,1,yes,yes,bad,0
850,<0,20,critical/other existing credit,new car,2235,<100,1<=X<4,4,male div/sep,guarantor,2,life insurance,32.44618891398711,bank,rent,2,high qualif/self emp/mgmt,1,none,no,bad,0
895,no checking,36,delayed previously,used car,8947,no known savings,4<=X<7,3,male div/sep,none,2,car,32.44618891398711,stores,own,1,high qualif/self emp/mgmt,2,yes,yes,good,0
898,no checking,15,existing paid,furniture/equipment,2186,no known savings,4<=X<7,1,male div/sep,none,4,real estate,32.44618891398711,bank,rent,1,high qualif/self emp/mgmt,1,none,yes,good,0
909,0<=X<200,9,existing paid,new car,3195,no known savings,1<=X<4,1,male div/sep,none,2,real estate,32.44618891398711,none,own,1,high qualif/self emp/mgmt,1,none,yes,good,0
915,0<=X<200,48,no credits/all paid,other,18424,<100,1<=X<4,1,male div/sep,none,2,life insurance,32.44618891398711,bank,own,1,high qualif/self emp/mgmt,1,yes,no,bad,0
918,<0,24,existing paid,furniture/equipment,2359,100<=X<500,unemployed,1,male div/sep,none,1,life insurance,32.44618891398711,none,own,1,high qualif/self emp/mgmt,1,none,yes,bad,0
942,no checking,24,existing paid,furniture/equipment,929,no known savings,4<=X<7,4,male div/sep,none,2,car,32.44618891398711,stores,own,1,high qualif/self emp/mgmt,1,yes,yes,good,0
974,no checking,30,critical/other existing credit,radio/tv,2831,<100,1<=X<4,4,male div/sep,none,2,car,32.44618891398711,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good,0
986,>=200,42,no credits/all paid,business,6289,<100,<1,2,male div/sep,none,1,life insurance,32.44618891398711,none,own,2,high qualif/self emp/mgmt,1,none,yes,good,0
933,no checking,12,critical/other existing credit,radio/tv,522,500<=X<1000,>=7,4,male div/sep,none,4,life insurance,41.83191457522683,none,own,2,high qualif/self emp/mgmt,2,yes,yes,good,1
653,0<=X<200,36,delayed previously,new car,8086,100<=X<500,>=7,2,male div/sep,none,4,car,41.83191457522683,none,own,4,high qualif/self emp/mgmt,1,yes,yes,bad,1
668,<0,12,critical/other existing credit,new car,4843,<100,>=7,3,male div/sep,co applicant,4,life insurance,41.83191457522683,none,rent,2,high qualif/self emp/mgmt,1,yes,yes,bad,1
971,no checking,24,existing paid,new car,7393,<100,1<=X<4,1,male div/sep,none,4,life insurance,41.83191457522683,none,own,1,high qualif/self emp/mgmt,2,none,yes,good,1
899,<0,18,existing paid,furniture/equipment,4153,<100,1<=X<4,2,male div/sep,co applicant,3,car,41.83191457522683,none,own,1,high qualif/self emp/mgmt,1,none,yes,bad,1
943,no checking,4,critical/other existing credit,new car,1455,<100,4<=X<7,2,male div/sep,none,1,real estate,41.83191457522683,none,own,3,high qualif/self emp/mgmt,2,none,yes,good,1
150,no checking,6,existing paid,radio/tv,1346,100<=X<500,>=7,2,male div/sep,none,4,no known property,41.83191457522683,bank,for free,1,high qualif/self emp/mgmt,2,yes,yes,good,1
399,no checking,24,critical/other existing credit,radio/tv,1516,>=1000,1<=X<4,4,male div/sep,none,1,real estate,41.83191457522683,none,own,2,high qualif/self emp/mgmt,1,none,yes,good,1
298,no checking,18,existing paid,furniture/equipment,2515,<100,1<=X<4,3,male div/sep,none,4,real estate,41.83191457522683,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good,1
121,no checking,24,critical/other existing credit,used car,3868,<100,>=7,4,male div/sep,none,2,car,41.83191457522683,none,rent,2,high qualif/self emp/mgmt,1,yes,yes,good,1
206,no checking,12,critical/other existing credit,furniture/equipment,1935,<100,>=7,4,male div/sep,none,4,real estate,41.83191457522683,none,own,3,high qualif/self emp/mgmt,1,yes,yes,good,1
591,0<=X<200,24,delayed previously,new car,1965,no known savings,1<=X<4,4,male div/sep,none,4,car,41.83191457522683,none,rent,2,high qualif/self emp/mgmt,1,yes,yes,good,1
867,no checking,12,critical/other existing credit,furniture/equipment,3331,<100,>=7,2,male div/sep,none,4,life insurance,41.83191457522683,stores,own,1,high qualif/self emp/mgmt,1,none,yes,good,1
518,<0,6,existing paid,new car,1203,100<=X<500,>=7,3,male div/sep,none,2,life insurance,41.83191457522683,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good,1
491,0<=X<200,27,no credits/all paid,business,8318,<100,>=7,2,male div/sep,none,4,no known property,41.83191457522683,none,for free,2,high qualif/self emp/mgmt,1,yes,yes,bad,1
404,0<=X<200,18,delayed previously,new car,2899,no known savings,>=7,4,male div/sep,none,4,car,41.83191457522683,none,own,1,high qualif/self emp/mgmt,2,none,yes,good,1
948,no checking,18,existing paid,furniture/equipment,1533,<100,<1,4,male div/sep,co applicant,1,life insurance,41.83191457522683,none,own,1,high qualif/self emp/mgmt,2,none,yes,bad,1
412,no checking,12,critical/other existing credit,business,2292,<100,unemployed,4,male div/sep,none,2,car,41.83191457522683,stores,own,2,high qualif/self emp/mgmt,1,yes,yes,bad,1
301,0<=X<200,36,no credits/all paid,radio/tv,3804,<100,1<=X<4,4,male div/sep,none,1,car,41.83191457522683,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad,1
445,no checking,9,critical/other existing credit,education,1244,no known savings,>=7,4,male div/sep,none,4,life insurance,41.83191457522683,none,rent,2,high qualif/self emp/mgmt,1,none,yes,good,1
73,0<=X<200,42,critical/other existing credit,business,5954,<100,4<=X<7,2,male div/sep,none,1,real estate,41.83191457522683,bank,own,2,high qualif/self emp/mgmt,1,none,yes,good,1
176,<0,12,existing paid,furniture/equipment,2577,<100,1<=X<4,2,male div/sep,none,1,car,41.83191457522683,none,own,1,high qualif/self emp/mgmt,1,none,yes,good,1
501,<0,36,existing paid,used car,5493,<100,>=7,2,male div/sep,none,4,no known property,41.83191457522683,none,for free,1,high qualif/self emp/mgmt,2,none,yes,good,1
527,no checking,4,critical/other existing credit,radio/tv,1503,<100,4<=X<7,2,male div/sep,none,1,real estate,41.83191457522683,none,own,2,high qualif/self emp/mgmt,2,none,yes,good,1
532,no checking,12,delayed previously,used car,1503,<100,1<=X<4,4,male div/sep,none,4,real estate,41.83191457522683,none,rent,1,high qualif/self emp/mgmt,1,none,yes,good,1
538,<0,48,existing paid,new car,7763,<100,>=7,4,male div/sep,none,4,no known property,41.83191457522683,bank,for free,1,high qualif/self emp/mgmt,1,none,yes,bad,1
545,<0,24,delayed previously,new car,1333,<100,unemployed,4,male div/sep,none,2,real estate,41.83191457522683,none,for free,2,high qualif/self emp/mgmt,2,none,yes,bad,1
672,no checking,60,existing paid,new car,10366,<100,>=7,2,male div/sep,none,4,life insurance,41.83191457522683,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good,1
725,no checking,6,critical/other existing credit,new car,250,>=1000,1<=X<4,2,male div/sep,none,2,real estate,41.83191457522683,bank,own,2,high qualif/self emp/mgmt,1,none,yes,good,1
818,<0,36,existing paid,other,15857,<100,unemployed,2,male div/sep,co applicant,3,car,41.83191457522683,none,own,1,high qualif/self emp/mgmt,1,none,yes,good,1
833,0<=X<200,24,existing paid,radio/tv,5084,no known savings,>=7,2,male div/sep,none,4,car,41.83191457522683,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good,1
851,no checking,24,critical/other existing credit,used car,4042,no known savings,4<=X<7,3,male div/sep,none,4,life insurance,41.83191457522683,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good,1
884,0<=X<200,24,existing paid,furniture/equipment,4057,<100,4<=X<7,3,male div/sep,none,3,car,41.83191457522683,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad,1
890,<0,27,critical/other existing credit,business,2442,<100,>=7,4,male div/sep,none,4,car,41.83191457522683,stores,own,4,high qualif/self emp/mgmt,2,yes,yes,good,1
900,<0,16,critical/other existing credit,new car,2625,<100,>=7,2,male div/sep,guarantor,4,life insurance,41.83191457522683,bank,rent,1,high qualif/self emp/mgmt,1,yes,yes,bad,1
902,no checking,36,critical/other existing credit,used car,10477,no known savings,>=7,2,male div/sep,none,4,no known property,41.83191457522683,none,for free,2,high qualif/self emp/mgmt,1,none,yes,good,1
929,<0,12,delayed previously,new car,1344,<100,1<=X<4,4,male div/sep,none,2,real estate,41.83191457522683,none,own,2,high qualif/self emp/mgmt,2,none,yes,good,1
938,0<=X<200,60,existing paid,education,6288,<100,1<=X<4,4,male div/sep,none,4,no known property,41.83191457522683,none,for free,1,high qualif/self emp/mgmt,1,none,yes,bad,1
977,0<=X<200,18,delayed previously,business,2427,no known savings,>=7,4,male div/sep,none,2,life insurance,41.83191457522683,none,own,2,high qualif/self emp/mgmt,1,none,yes,good,1
213,>=200,30,delayed previously,business,1908,<100,>=7,4,male single,none,4,real estate,60.16532438596479,none,own,1,skilled,1,yes,yes,bad,4
779,0<=X<200,18,existing paid,repairs,3872,<100,unemployed,2,male single,none,4,car,60.16532438596479,none,own,1,skilled,1,yes,yes,good,4
606,no checking,24,critical/other existing credit,business,4526,<100,1<=X<4,3,male single,none,2,real estate,60.16532438596479,none,own,1,skilled,1,yes,yes,good,4
848,<0,9,existing paid,radio/tv,1364,<100,4<=X<7,3,male single,none,4,real estate,60.16532438596479,none,own,1,skilled,1,none,yes,good,4
330,<0,24,critical/other existing credit,used car,6615,<100,unemployed,2,male single,none,4,no known property,60.16532438596479,none,for free,2,skilled,1,yes,yes,good,4
976,0<=X<200,6,existing paid,radio/tv,753,<100,1<=X<4,2,male single,guarantor,3,real estate,60.16532438596479,none,own,1,skilled,1,none,yes,good,4
541,no checking,24,delayed previously,new car,2032,<100,>=7,4,male single,none,4,no known property,60.16532438596479,none,for free,2,skilled,1,yes,yes,good,4
536,<0,6,existing paid,new car,1374,no known savings,unemployed,4,male single,none,3,life insurance,60.16532438596479,none,own,1,skilled,1,yes,yes,good,4
629,no checking,9,existing paid,education,3832,no known savings,>=7,1,male single,none,4,real estate,60.16532438596479,none,own,1,skilled,1,none,yes,good,4
373,no checking,60,critical/other existing credit,new car,13756,no known savings,>=7,2,male single,none,4,no known property,60.16532438596479,bank,for free,1,skilled,1,yes,yes,good,4
187,0<=X<200,16,critical/other existing credit,new car,1175,<100,unemployed,2,male single,none,3,car,60.16532438596479,none,for free,3,skilled,1,yes,yes,good,4
62,0<=X<200,36,no credits/all paid,business,1953,<100,>=7,4,male single,none,4,no known property,60.16532438596479,none,for free,1,skilled,1,yes,yes,bad,4
769,no checking,12,critical/other existing credit,radio/tv,1655,<100,>=7,2,male single,none,4,real estate,60.16532438596479,none,own,2,skilled,1,yes,yes,good,4
137,0<=X<200,12,existing paid,radio/tv,766,500<=X<1000,1<=X<4,4,male single,none,3,real estate,60.16532438596479,none,own,1,skilled,1,none,yes,bad,4
29,<0,60,delayed previously,business,6836,<100,>=7,3,male single,none,4,no known property,60.16532438596479,none,own,2,skilled,1,yes,yes,bad,4
96,no checking,12,critical/other existing credit,education,2012,no known savings,4<=X<7,4,male single,none,2,car,60.16532438596479,none,own,1,skilled,1,none,yes,good,4
807,no checking,12,critical/other existing credit,radio/tv,930,no known savings,>=7,4,male single,none,4,real estate,60.16532438596479,none,own,4,skilled,1,none,yes,good,4
883,no checking,18,critical/other existing credit,radio/tv,1098,<100,unemployed,4,male single,none,4,car,60.16532438596479,none,own,2,skilled,1,none,yes,good,4
917,<0,6,existing paid,new car,14896,<100,>=7,1,male single,none,4,no known property,60.16532438596479,bank,own,1,skilled,1,yes,yes,bad,4
237,0<=X<200,21,existing paid,business,2767,100<=X<500,>=7,4,male single,none,2,car,60.16532438596479,bank,rent,2,skilled,1,none,yes,bad,4
0,<0,6,critical/other existing credit,radio/tv,1169,no known savings,>=7,4,male single,none,4,real estate,60.16532438596479,none,own,2,skilled,1,yes,yes,good,4
8,no checking,12,existing paid,radio/tv,3059,>=1000,4<=X<7,2,male single,none,4,real estate,60.16532438596479,none,own,1,skilled,1,none,yes,good,4
13,<0,24,critical/other existing credit,new car,1199,<100,>=7,4,male single,none,4,car,60.16532438596479,none,own,2,skilled,1,none,yes,bad,4
75,<0,12,critical/other existing credit,used car,1526,<100,>=7,4,male single,none,4,no known property,60.16532438596479,none,for free,2,skilled,1,none,yes,good,4
123,>=200,10,critical/other existing credit,new car,781,<100,>=7,4,male single,none,4,no known property,60.16532438596479,none,for free,2,skilled,1,yes,yes,good,4
163,0<=X<200,10,existing paid,new car,7308,<100,unemployed,2,male single,none,4,no known property,60.16532438596479,bank,for free,1,skilled,1,yes,yes,good,4
