checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,credit_risk,cluster
no checking,12,critical/other existing credit,education,2012,no known savings,4<=X<7,4,male mar/wid,none,2,car,59.657098999472154,none,own,1,skilled,1,none,yes,good,8
<0,24,existing paid,radio/tv,2384,<100,>=7,4,male mar/wid,none,4,real estate,59.657098999472154,bank,rent,1,skilled,1,none,yes,good,8
0<=X<200,36,no credits/all paid,business,1953,<100,>=7,4,male mar/wid,none,4,no known property,59.657098999472154,none,for free,1,skilled,1,yes,yes,bad,8
>=200,6,critical/other existing credit,new car,1299,<100,1<=X<4,1,male mar/wid,none,1,real estate,59.657098999472154,none,own,3,skilled,2,none,no,good,8
<0,24,existing paid,used car,2924,<100,1<=X<4,3,male mar/wid,guarantor,4,no known property,59.657098999472154,bank,own,1,skilled,2,yes,yes,good,8
no checking,6,existing paid,domestic appliance,1338,500<=X<1000,1<=X<4,1,male mar/wid,none,4,real estate,59.657098999472154,none,own,1,skilled,1,none,yes,good,8
no checking,9,existing paid,education,3832,no known savings,>=7,1,male mar/wid,none,4,real estate,59.657098999472154,none,own,1,skilled,1,none,yes,good,8
<0,6,existing paid,new car,1203,100<=X<500,>=7,3,male mar/wid,none,2,life insurance,41.87087064659453,none,own,1,unemp/unskilled non res,1,yes,yes,good,15
<0,27,critical/other existing credit,business,2442,<100,>=7,4,male mar/wid,none,4,car,41.87087064659453,stores,own,4,unemp/unskilled non res,2,yes,yes,good,15
no checking,6,existing paid,radio/tv,1346,100<=X<500,>=7,2,male mar/wid,none,4,no known property,41.87087064659453,bank,for free,1,unemp/unskilled non res,2,yes,yes,good,15
<0,16,critical/other existing credit,new car,2625,<100,>=7,2,male mar/wid,guarantor,4,life insurance,41.87087064659453,bank,rent,1,unemp/unskilled non res,1,yes,yes,bad,15
<0,12,critical/other existing credit,new car,4843,<100,>=7,3,male mar/wid,co applicant,4,life insurance,41.87087064659453,none,rent,2,unemp/unskilled non res,1,yes,yes,bad,15
no checking,12,delayed previously,used car,1503,<100,1<=X<4,4,male mar/wid,none,4,real estate,41.87087064659453,none,rent,1,unemp/unskilled non res,1,none,yes,good,15
no checking,24,critical/other existing credit,used car,4042,no known savings,4<=X<7,3,male mar/wid,none,4,life insurance,41.87087064659453,none,own,2,unemp/unskilled non res,1,yes,yes,good,15
<0,12,existing paid,furniture/equipment,2577,<100,1<=X<4,2,male mar/wid,none,1,car,41.87087064659453,none,own,1,unemp/unskilled non res,1,none,yes,good,15
0<=X<200,60,existing paid,education,6288,<100,1<=X<4,4,male mar/wid,none,4,no known property,41.87087064659453,none,for free,1,unemp/unskilled non res,1,none,yes,bad,15
0<=X<200,18,delayed previously,new car,2899,no known savings,>=7,4,male mar/wid,none,4,car,41.87087064659453,none,own,1,unemp/unskilled non res,2,none,yes,good,15
no checking,12,critical/other existing credit,furniture/equipment,1935,<100,>=7,4,male mar/wid,none,4,real estate,41.87087064659453,none,own,3,unemp/unskilled non res,1,yes,yes,good,15
<0,36,existing paid,other,15857,<100,unemployed,2,male mar/wid,co applicant,3,car,41.87087064659453,none,own,1,unemp/unskilled non res,1,none,yes,good,15
0<=X<200,24,existing paid,furniture/equipment,4057,<100,4<=X<7,3,male mar/wid,none,3,car,41.87087064659453,none,own,1,unemp/unskilled non res,1,yes,yes,bad,15
no checking,18,existing paid,furniture/equipment,2515,<100,1<=X<4,3,male mar/wid,none,4,real estate,41.87087064659453,none,own,1,unemp/unskilled non res,1,yes,yes,good,15
<0,36,existing paid,furniture/equipment,3446,<100,>=7,4,male mar/wid,none,2,car,41.87087064659453,none,own,1,unemp/unskilled non res,2,none,yes,bad,15
no checking,18,existing paid,furniture/equipment,1533,<100,<1,4,male mar/wid,co applicant,1,life insurance,41.87087064659453,none,own,1,unemp/unskilled non res,2,none,yes,bad,15
<0,18,existing paid,furniture/equipment,4153,<100,1<=X<4,2,male mar/wid,co applicant,3,car,41.87087064659453,none,own,1,unemp/unskilled non res,1,none,yes,bad,15
no checking,12,critical/other existing credit,radio/tv,522,500<=X<1000,>=7,4,male mar/wid,none,4,life insurance,41.87087064659453,none,own,2,unemp/unskilled non res,2,yes,yes,good,15
0<=X<200,18,delayed previously,business,2427,no known savings,>=7,4,male mar/wid,none,2,life insurance,41.87087064659453,none,own,2,unemp/unskilled non res,1,none,yes,good,15
<0,36,existing paid,used car,5493,<100,>=7,2,male mar/wid,none,4,no known property,41.87087064659453,none,for free,1,unemp/unskilled non res,2,none,yes,good,15
no checking,24,critical/other existing credit,new car,1287,>=1000,>=7,4,male div/sep,none,4,real estate,36.948198642219424,none,own,2,skilled,1,yes,yes,good,16
no checking,36,existing paid,business,7409,no known savings,>=7,3,male div/sep,none,2,life insurance,36.948198642219424,none,own,2,skilled,1,none,yes,good,16
<0,48,all paid,business,7685,<100,4<=X<7,2,male div/sep,guarantor,4,car,36.948198642219424,none,rent,1,skilled,1,none,yes,bad,16
>=200,24,critical/other existing credit,business,1275,>=1000,1<=X<4,2,male div/sep,none,4,real estate,36.948198642219424,none,own,2,skilled,1,yes,yes,good,16
>=200,18,existing paid,radio/tv,2100,<100,1<=X<4,4,male div/sep,co applicant,2,real estate,36.948198642219424,stores,own,1,skilled,1,none,yes,bad,16
0<=X<200,18,critical/other existing credit,furniture/equipment,3612,<100,>=7,3,male div/sep,none,4,life insurance,36.948198642219424,none,own,1,skilled,1,yes,yes,good,16
0<=X<200,12,existing paid,furniture/equipment,1922,<100,1<=X<4,4,male div/sep,none,2,life insurance,36.948198642219424,none,own,1,skilled,1,none,yes,bad,16
no checking,4,critical/other existing credit,new car,3380,<100,4<=X<7,1,male div/sep,none,1,real estate,36.948198642219424,none,own,1,skilled,2,none,yes,good,16
<0,6,critical/other existing credit,new car,609,<100,4<=X<7,4,male div/sep,none,3,life insurance,36.948198642219424,none,own,2,skilled,1,none,no,good,16
no checking,24,critical/other existing credit,new car,2022,<100,1<=X<4,4,male div/sep,none,4,car,36.948198642219424,none,own,1,skilled,1,yes,yes,good,16
<0,12,existing paid,new car,1372,<100,4<=X<7,2,male div/sep,none,3,car,36.948198642219424,none,own,1,skilled,1,none,yes,bad,16
>=200,10,existing paid,domestic appliance,1225,<100,1<=X<4,2,male div/sep,none,2,car,36.948198642219424,none,own,1,skilled,1,yes,yes,good,16
no checking,12,critical/other existing credit,furniture/equipment,1402,500<=X<1000,4<=X<7,3,male div/sep,none,4,car,36.948198642219424,none,rent,1,skilled,1,yes,yes,good,16
0<=X<200,24,critical/other existing credit,new car,3878,100<=X<500,<1,4,male div/sep,none,2,car,36.948198642219424,none,own,1,skilled,1,yes,yes,good,16
no checking,36,existing paid,education,1819,<100,1<=X<4,4,male div/sep,none,4,no known property,36.948198642219424,stores,for free,1,skilled,1,yes,yes,bad,16
<0,6,critical/other existing credit,new car,3676,<100,1<=X<4,1,male div/sep,none,3,real estate,36.948198642219424,none,rent,3,skilled,2,none,yes,good,16
<0,12,existing paid,new car,1274,<100,<1,3,male div/sep,none,1,real estate,36.948198642219424,none,own,1,skilled,1,none,yes,bad,16
0<=X<200,15,existing paid,radio/tv,802,<100,>=7,4,male div/sep,none,3,car,36.948198642219424,none,own,1,skilled,2,none,yes,bad,16
0<=X<200,9,critical/other existing credit,radio/tv,1154,<100,>=7,2,male div/sep,none,4,real estate,36.948198642219424,none,own,3,skilled,1,none,yes,good,16
no checking,36,critical/other existing credit,new car,3535,<100,4<=X<7,4,male div/sep,none,4,car,36.948198642219424,none,own,2,skilled,1,yes,yes,good,16
no checking,10,existing paid,new car,1287,no known savings,>=7,4,female div/dep/mar,co applicant,2,life insurance,44.254233838628586,none,own,1,unskilled resident,1,none,no,good,17
no checking,6,all paid,radio/tv,1750,500<=X<1000,>=7,2,female div/dep/mar,none,4,life insurance,44.254233838628586,bank,own,1,unskilled resident,2,none,yes,good,17
0<=X<200,24,existing paid,used car,12579,<100,>=7,4,female div/dep/mar,none,2,no known property,44.254233838628586,none,for free,1,unskilled resident,1,yes,yes,bad,17
<0,28,existing paid,new car,4006,<100,1<=X<4,3,female div/dep/mar,none,2,car,44.254233838628586,none,own,1,unskilled resident,1,none,yes,bad,17
no checking,24,critical/other existing credit,radio/tv,1516,>=1000,1<=X<4,4,female div/dep/mar,none,1,real estate,44.254233838628586,none,own,2,unskilled resident,1,none,yes,good,17
no checking,48,critical/other existing credit,new car,10127,500<=X<1000,1<=X<4,2,female div/dep/mar,none,2,no known property,44.254233838628586,bank,for free,1,unskilled resident,1,none,yes,bad,17
no checking,12,critical/other existing credit,new car,1163,500<=X<1000,1<=X<4,4,female div/dep/mar,none,4,real estate,44.254233838628586,none,own,1,unskilled resident,1,yes,yes,good,17
<0,6,existing paid,radio/tv,2647,500<=X<1000,1<=X<4,2,female div/dep/mar,none,3,real estate,44.254233838628586,none,rent,1,unskilled resident,2,none,yes,good,17
<0,12,delayed previously,new car,1344,<100,1<=X<4,4,female div/dep/mar,none,2,real estate,44.254233838628586,none,own,2,unskilled resident,2,none,yes,good,17
>=200,12,existing paid,radio/tv,1881,<100,1<=X<4,2,female div/dep/mar,none,2,car,44.254233838628586,none,rent,1,unskilled resident,1,yes,yes,good,17
0<=X<200,12,critical/other existing credit,used car,1804,100<=X<500,<1,3,female div/dep/mar,none,4,life insurance,44.254233838628586,none,own,1,unskilled resident,1,none,yes,good,17
<0,15,critical/other existing credit,furniture/equipment,1478,<100,>=7,4,female div/dep/mar,none,4,car,44.254233838628586,none,own,2,unskilled resident,2,yes,yes,good,17
>=200,18,existing paid,furniture/equipment,3049,<100,<1,1,female div/dep/mar,none,1,life insurance,44.254233838628586,stores,own,1,unskilled resident,1,none,yes,good,17
0<=X<200,18,delayed previously,repairs,6204,<100,1<=X<4,2,female div/dep/mar,none,4,real estate,44.254233838628586,none,own,1,unskilled resident,2,yes,yes,good,17
no checking,24,existing paid,radio/tv,5943,no known savings,<1,1,female div/dep/mar,none,1,car,44.254233838628586,none,own,2,unskilled resident,1,yes,yes,bad,17
no checking,24,delayed previously,business,2375,500<=X<1000,1<=X<4,4,female div/dep/mar,none,2,car,44.254233838628586,none,own,2,unskilled resident,2,yes,yes,good,17
0<=X<200,7,existing paid,radio/tv,2329,<100,<1,1,female div/dep/mar,guarantor,1,real estate,44.254233838628586,none,own,1,unskilled resident,1,none,yes,good,17
no checking,20,critical/other existing credit,new car,3485,no known savings,<1,2,female div/dep/mar,none,4,real estate,44.254233838628586,none,own,2,unskilled resident,1,yes,yes,good,17
<0,18,all paid,furniture/equipment,1553,<100,1<=X<4,4,female div/dep/mar,none,3,car,44.254233838628586,bank,own,1,unskilled resident,1,none,yes,bad,17
no checking,24,existing paid,new car,7393,<100,1<=X<4,1,female div/dep/mar,none,4,life insurance,44.254233838628586,none,own,1,unskilled resident,2,none,yes,good,17
no checking,36,existing paid,radio/tv,2299,500<=X<1000,>=7,4,female div/dep/mar,none,4,car,38.939197593733695,none,own,1,skilled,1,none,yes,good,21
>=200,15,critical/other existing credit,radio/tv,1271,no known savings,1<=X<4,3,female div/dep/mar,none,4,no known property,38.939197593733695,none,for free,2,skilled,1,yes,yes,bad,21
<0,20,existing paid,furniture/equipment,2212,no known savings,4<=X<7,4,female div/dep/mar,none,4,car,38.939197593733695,none,own,1,skilled,1,yes,yes,good,21
no checking,12,critical/other existing credit,radio/tv,1240,no known savings,>=7,4,female div/dep/mar,none,2,real estate,38.939197593733695,none,own,2,skilled,1,yes,yes,good,21
0<=X<200,21,existing paid,business,1188,<100,>=7,2,female div/dep/mar,none,4,life insurance,38.939197593733695,none,own,1,skilled,2,none,yes,bad,21
<0,6,critical/other existing credit,new car,666,>=1000,4<=X<7,3,female div/dep/mar,none,4,real estate,38.939197593733695,none,own,2,skilled,1,yes,yes,good,21
no checking,15,existing paid,radio/tv,1386,no known savings,1<=X<4,4,female div/dep/mar,none,2,real estate,38.939197593733695,none,rent,1,skilled,1,yes,yes,good,21
no checking,24,critical/other existing credit,furniture/equipment,1585,<100,4<=X<7,4,female div/dep/mar,none,3,life insurance,38.939197593733695,none,own,2,skilled,1,none,yes,good,21
0<=X<200,6,critical/other existing credit,retraining,932,no known savings,4<=X<7,1,female div/dep/mar,none,3,life insurance,38.939197593733695,none,own,2,skilled,1,none,yes,good,21
<0,30,existing paid,radio/tv,2522,<100,>=7,1,female div/dep/mar,guarantor,3,life insurance,38.939197593733695,none,own,1,skilled,2,none,yes,good,21
no checking,36,delayed previously,furniture/equipment,7678,500<=X<1000,4<=X<7,2,female div/dep/mar,none,4,car,38.939197593733695,none,own,2,skilled,1,yes,yes,good,21
no checking,30,critical/other existing credit,radio/tv,3077,no known savings,>=7,3,female div/dep/mar,none,2,car,38.939197593733695,none,own,2,skilled,2,yes,yes,good,21
0<=X<200,11,critical/other existing credit,new car,1322,>=1000,1<=X<4,4,female div/dep/mar,none,4,car,38.939197593733695,none,own,2,skilled,1,none,yes,good,21
no checking,10,existing paid,retraining,894,no known savings,4<=X<7,4,female div/dep/mar,none,3,life insurance,38.939197593733695,none,own,1,skilled,1,yes,yes,good,21
<0,6,critical/other existing credit,new car,860,<100,>=7,1,female div/dep/mar,none,4,no known property,38.939197593733695,none,own,2,skilled,1,yes,yes,good,21
0<=X<200,18,existing paid,used car,12976,<100,unemployed,3,female div/dep/mar,none,4,no known property,38.939197593733695,none,for free,1,skilled,1,yes,yes,bad,21
<0,48,existing paid,used car,10297,<100,4<=X<7,4,female div/dep/mar,none,4,no known property,38.939197593733695,stores,for free,3,skilled,2,yes,yes,bad,21
0<=X<200,18,existing paid,furniture/equipment,3001,<100,4<=X<7,2,female div/dep/mar,none,4,real estate,38.939197593733695,none,rent,1,skilled,1,none,yes,good,21
no checking,18,existing paid,radio/tv,1473,<100,<1,3,female div/dep/mar,none,4,real estate,38.939197593733695,none,own,1,skilled,1,yes,yes,good,21
no checking,22,existing paid,radio/tv,2675,500<=X<1000,>=7,3,female div/dep/mar,none,4,car,38.939197593733695,none,own,1,skilled,1,none,yes,good,21
<0,12,existing paid,furniture/equipment,708,<100,1<=X<4,2,male single,guarantor,3,life insurance,38.825253938239975,none,own,1,unemp/unskilled non res,2,none,yes,good,22
no checking,12,existing paid,new car,1884,<100,>=7,4,male single,none,4,car,38.825253938239975,none,own,1,unemp/unskilled non res,1,yes,yes,good,22
<0,8,critical/other existing credit,new car,3398,<100,4<=X<7,1,male single,none,4,real estate,38.825253938239975,none,own,2,unemp/unskilled non res,1,none,no,good,22
no checking,36,critical/other existing credit,used car,5711,>=1000,>=7,4,male single,none,2,car,38.825253938239975,none,own,2,unemp/unskilled non res,1,yes,yes,good,22
no checking,11,critical/other existing credit,new car,7228,<100,1<=X<4,1,male single,none,4,life insurance,38.825253938239975,none,own,2,unemp/unskilled non res,1,none,yes,good,22
0<=X<200,18,critical/other existing credit,furniture/equipment,7374,<100,unemployed,4,male single,none,4,life insurance,38.825253938239975,stores,own,2,unemp/unskilled non res,1,yes,yes,good,22
<0,24,all paid,other,1358,no known savings,>=7,4,male single,none,3,car,38.825253938239975,stores,own,1,unemp/unskilled non res,1,yes,yes,bad,22
0<=X<200,15,existing paid,repairs,1308,<100,>=7,4,male single,none,4,car,38.825253938239975,none,own,2,unemp/unskilled non res,1,none,yes,good,22
<0,36,existing paid,new car,3249,<100,4<=X<7,2,male single,none,4,no known property,38.825253938239975,bank,for free,1,unemp/unskilled non res,2,yes,yes,good,22
<0,24,existing paid,furniture/equipment,3345,<100,>=7,4,male single,none,2,life insurance,38.825253938239975,none,rent,1,unemp/unskilled non res,1,yes,yes,bad,22
<0,36,existing paid,education,1977,no known savings,>=7,4,male single,none,4,no known property,38.825253938239975,none,own,1,unemp/unskilled non res,1,yes,yes,bad,22
no checking,18,all paid,new car,6458,<100,>=7,2,male single,none,4,no known property,38.825253938239975,bank,own,2,unemp/unskilled non res,2,yes,yes,bad,22
no checking,12,critical/other existing credit,new car,1495,<100,>=7,4,male single,none,1,real estate,38.825253938239975,none,own,2,unemp/unskilled non res,2,none,yes,good,22
no checking,54,no credits/all paid,used car,9436,no known savings,1<=X<4,2,male single,none,2,life insurance,38.825253938239975,none,own,1,unemp/unskilled non res,2,none,yes,good,22
<0,12,critical/other existing credit,new car,2122,<100,1<=X<4,3,male single,none,2,real estate,38.825253938239975,none,rent,2,unemp/unskilled non res,2,none,no,good,22
no checking,24,existing paid,used car,7814,<100,4<=X<7,3,male single,none,3,car,38.825253938239975,none,own,1,unemp/unskilled non res,1,yes,yes,good,22
0<=X<200,24,critical/other existing credit,other,11938,<100,1<=X<4,2,male single,co applicant,3,car,38.825253938239975,none,own,2,unemp/unskilled non res,2,yes,yes,bad,22
no checking,12,existing paid,new car,2859,no known savings,unemployed,4,male single,none,4,no known property,38.825253938239975,none,own,1,unemp/unskilled non res,1,yes,yes,good,22
<0,12,critical/other existing credit,new car,2171,<100,1<=X<4,4,male single,none,4,life insurance,38.825253938239975,bank,own,2,unemp/unskilled non res,1,none,no,good,22
no checking,15,existing paid,education,4623,100<=X<500,1<=X<4,3,male single,none,2,life insurance,38.825253938239975,none,own,1,unemp/unskilled non res,1,yes,yes,bad,22
<0,18,existing paid,furniture/equipment,1131,<100,unemployed,4,female div/dep/mar,none,2,car,35.43348133049869,none,own,1,skilled,1,none,yes,bad,24
no checking,36,existing paid,new car,3079,no known savings,1<=X<4,4,female div/dep/mar,none,4,real estate,35.43348133049869,none,own,1,skilled,1,none,yes,good,24
no checking,18,delayed previously,radio/tv,2320,<100,unemployed,2,female div/dep/mar,none,3,real estate,35.43348133049869,none,own,2,skilled,1,none,yes,good,24
no checking,15,delayed previously,radio/tv,1478,<100,1<=X<4,4,female div/dep/mar,none,3,real estate,35.43348133049869,bank,own,2,skilled,1,none,yes,good,24
0<=X<200,18,existing paid,business,1913,>=1000,<1,3,female div/dep/mar,none,3,real estate,35.43348133049869,bank,own,1,skilled,1,yes,yes,good,24
no checking,18,critical/other existing credit,new car,1028,<100,1<=X<4,4,female div/dep/mar,none,3,real estate,35.43348133049869,none,own,2,skilled,1,none,yes,good,24
0<=X<200,12,existing paid,furniture/equipment,3017,<100,<1,3,female div/dep/mar,none,1,real estate,35.43348133049869,none,rent,1,skilled,1,none,yes,good,24
0<=X<200,9,existing paid,new car,1549,no known savings,<1,4,female div/dep/mar,none,2,real estate,35.43348133049869,none,own,1,skilled,1,none,yes,good,24
no checking,12,all paid,retraining,3447,500<=X<1000,1<=X<4,4,female div/dep/mar,none,3,real estate,35.43348133049869,none,own,1,skilled,2,none,yes,good,24
<0,36,existing paid,new car,1842,<100,<1,4,female div/dep/mar,none,4,car,35.43348133049869,none,own,1,skilled,1,yes,yes,bad,24
no checking,21,delayed previously,furniture/equipment,1591,100<=X<500,4<=X<7,4,female div/dep/mar,none,3,real estate,35.43348133049869,none,own,2,skilled,1,none,yes,good,24
<0,9,critical/other existing credit,new car,2799,<100,1<=X<4,2,female div/dep/mar,none,2,real estate,35.43348133049869,none,rent,2,skilled,2,none,yes,good,24
0<=X<200,14,existing paid,business,1410,500<=X<1000,>=7,1,female div/dep/mar,none,2,real estate,35.43348133049869,none,own,1,skilled,1,yes,yes,good,24
no checking,9,existing paid,radio/tv,2753,100<=X<500,>=7,3,female div/dep/mar,co applicant,4,car,35.43348133049869,none,own,1,skilled,1,yes,yes,good,24
<0,6,all paid,education,1198,<100,>=7,4,female div/dep/mar,none,4,no known property,35.43348133049869,none,for free,1,skilled,1,none,yes,bad,24
<0,12,existing paid,radio/tv,1680,500<=X<1000,>=7,3,female div/dep/mar,none,1,real estate,35.43348133049869,none,own,1,skilled,1,none,yes,good,24
no checking,21,existing paid,business,1572,>=1000,>=7,4,female div/dep/mar,none,4,real estate,35.43348133049869,bank,own,1,skilled,1,none,yes,good,24
0<=X<200,7,existing paid,radio/tv,2576,<100,1<=X<4,2,female div/dep/mar,guarantor,2,real estate,35.43348133049869,none,own,1,skilled,1,none,yes,good,24
no checking,36,delayed previously,radio/tv,4454,<100,1<=X<4,4,female div/dep/mar,none,4,real estate,35.43348133049869,none,own,2,skilled,1,none,yes,good,24
no checking,36,existing paid,education,9055,no known savings,1<=X<4,2,female div/dep/mar,none,4,no known property,35.43348133049869,none,for free,1,skilled,2,yes,yes,good,24
no checking,6,existing paid,furniture/equipment,2978,500<=X<1000,1<=X<4,1,female div/dep/mar,none,2,car,30.61320108655912,none,own,1,unskilled resident,1,yes,yes,good,27
<0,33,critical/other existing credit,furniture/equipment,4281,500<=X<1000,1<=X<4,1,female div/dep/mar,none,4,car,30.61320108655912,none,own,2,unskilled resident,1,none,yes,bad,27
0<=X<200,12,existing paid,radio/tv,1331,<100,<1,2,female div/dep/mar,none,1,car,30.61320108655912,stores,own,1,unskilled resident,1,none,yes,bad,27
0<=X<200,12,existing paid,radio/tv,2930,<100,4<=X<7,2,female div/dep/mar,none,1,real estate,30.61320108655912,none,own,1,unskilled resident,1,none,yes,good,27
<0,36,delayed previously,education,6887,<100,1<=X<4,4,female div/dep/mar,none,3,life insurance,30.61320108655912,stores,own,1,unskilled resident,1,yes,yes,bad,27
no checking,18,critical/other existing credit,used car,3850,<100,4<=X<7,3,female div/dep/mar,none,1,car,30.61320108655912,none,own,2,unskilled resident,1,none,yes,good,27
0<=X<200,48,no credits/all paid,business,14421,<100,1<=X<4,2,female div/dep/mar,none,2,car,30.61320108655912,none,own,1,unskilled resident,1,yes,yes,bad,27
no checking,24,existing paid,business,1258,<100,4<=X<7,4,female div/dep/mar,none,1,real estate,30.61320108655912,none,own,1,unskilled resident,1,yes,yes,good,27
0<=X<200,48,no credits/all paid,new car,8358,500<=X<1000,<1,1,female div/dep/mar,none,1,car,30.61320108655912,none,own,2,unskilled resident,1,none,yes,good,27
no checking,18,existing paid,radio/tv,1453,<100,<1,3,female div/dep/mar,none,1,real estate,30.61320108655912,none,own,1,unskilled resident,1,none,yes,good,27
no checking,10,critical/other existing credit,furniture/equipment,2069,no known savings,1<=X<4,2,female div/dep/mar,none,1,car,30.61320108655912,none,own,2,unskilled resident,1,none,no,good,27
