checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,credit_risk,cluster
<0,48,no credits/all paid,furniture/equipment,7119,<100,1<=X<4,3,female div/dep/mar,none,4,no known property,53.742336630933586,none,for free,2,unemp/unskilled non res,2,none,yes,bad,5
<0,12,critical/other existing credit,used car,1409,<100,>=7,4,female div/dep/mar,none,3,real estate,53.742336630933586,none,own,1,unemp/unskilled non res,1,none,yes,good,5
0<=X<200,12,existing paid,new car,1318,>=1000,>=7,4,female div/dep/mar,none,4,real estate,53.742336630933586,none,own,1,unemp/unskilled non res,1,yes,yes,good,5
<0,48,existing paid,domestic appliance,3051,<100,1<=X<4,3,female div/dep/mar,none,4,car,53.742336630933586,none,own,1,unemp/unskilled non res,1,none,yes,bad,5
no checking,24,delayed previously,new car,717,no known savings,>=7,4,female div/dep/mar,none,4,car,53.742336630933586,none,own,2,unemp/unskilled non res,1,yes,yes,good,5
0<=X<200,36,delayed previously,new car,7432,<100,1<=X<4,2,female div/dep/mar,none,2,life insurance,53.742336630933586,none,rent,1,unemp/unskilled non res,1,none,yes,good,5
no checking,24,critical/other existing credit,education,1597,<100,>=7,4,female div/dep/mar,none,4,no known property,53.742336630933586,none,for free,2,unemp/unskilled non res,2,none,yes,good,5
no checking,15,existing paid,radio/tv,3568,<100,>=7,4,female div/dep/mar,none,2,car,53.742336630933586,bank,rent,1,unemp/unskilled non res,1,yes,yes,good,5
no checking,28,all paid,used car,7824,no known savings,<1,3,male single,guarantor,4,real estate,39.37393280181456,bank,rent,2,high qualif/self emp/mgmt,2,yes,yes,good,6
no checking,36,delayed previously,furniture/equipment,7678,500<=X<1000,4<=X<7,2,male single,none,4,car,39.37393280181456,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good,6
<0,48,existing paid,used car,10297,<100,4<=X<7,4,male single,none,4,no known property,39.37393280181456,stores,for free,3,high qualif/self emp/mgmt,2,yes,yes,bad,6
0<=X<200,6,critical/other existing credit,retraining,932,no known savings,4<=X<7,1,male single,none,3,life insurance,39.37393280181456,none,own,2,high qualif/self emp/mgmt,1,none,yes,good,6
no checking,12,existing paid,new car,1884,<100,>=7,4,male single,none,4,car,39.37393280181456,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good,6
<0,12,existing paid,education,684,<100,1<=X<4,4,male single,none,4,car,39.37393280181456,none,rent,1,high qualif/self emp/mgmt,2,none,yes,bad,6
no checking,18,critical/other existing credit,used car,3229,no known savings,unemployed,2,male single,none,4,no known property,39.37393280181456,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good,6
>=200,15,existing paid,education,1905,<100,>=7,4,male single,none,4,car,39.37393280181456,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,good,6
<0,36,existing paid,education,1977,no known savings,>=7,4,male single,none,4,no known property,39.37393280181456,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad,6
no checking,15,existing paid,education,4623,100<=X<500,1<=X<4,3,male single,none,2,life insurance,39.37393280181456,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad,6
<0,30,existing paid,radio/tv,2522,<100,>=7,1,male single,guarantor,3,life insurance,39.37393280181456,none,own,1,high qualif/self emp/mgmt,2,none,yes,good,6
<0,6,critical/other existing credit,new car,860,<100,>=7,1,male single,none,4,no known property,39.37393280181456,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good,6
<0,11,critical/other existing credit,new car,3939,<100,1<=X<4,1,male single,none,2,real estate,39.37393280181456,none,own,2,high qualif/self emp/mgmt,2,none,yes,good,6
no checking,18,all paid,new car,6458,<100,>=7,2,male single,none,4,no known property,39.37393280181456,bank,own,2,high qualif/self emp/mgmt,2,yes,yes,bad,6
no checking,12,existing paid,new car,2859,no known savings,unemployed,4,male single,none,4,no known property,39.37393280181456,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good,6
no checking,54,no credits/all paid,used car,9436,no known savings,1<=X<4,2,male single,none,2,life insurance,39.37393280181456,none,own,1,high qualif/self emp/mgmt,2,none,yes,good,6
no checking,36,critical/other existing credit,used car,5711,>=1000,>=7,4,male single,none,2,car,39.37393280181456,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good,6
no checking,30,critical/other existing credit,radio/tv,3077,no known savings,>=7,3,male single,none,2,car,39.37393280181456,none,own,2,high qualif/self emp/mgmt,2,yes,yes,good,6
<0,20,existing paid,furniture/equipment,2212,no known savings,4<=X<7,4,male single,none,4,car,39.37393280181456,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good,6
0<=X<200,18,critical/other existing credit,business,3590,<100,unemployed,3,male single,none,3,car,39.37393280181456,none,own,3,high qualif/self emp/mgmt,2,yes,yes,good,6
0<=X<200,15,existing paid,repairs,2631,100<=X<500,1<=X<4,3,male div/sep,none,2,real estate,24.58583698304867,none,own,1,skilled,1,none,yes,good,7
no checking,6,existing paid,radio/tv,518,<100,1<=X<4,3,male div/sep,none,1,real estate,24.58583698304867,none,own,1,skilled,1,none,yes,good,7
>=200,15,existing paid,business,2687,<100,4<=X<7,2,male div/sep,none,4,life insurance,24.58583698304867,none,rent,1,skilled,1,yes,yes,good,7
0<=X<200,15,no credits/all paid,new car,1778,<100,<1,2,male div/sep,none,1,real estate,24.58583698304867,none,rent,2,skilled,1,none,yes,bad,7
<0,21,delayed previously,education,3414,<100,<1,2,male div/sep,none,1,life insurance,24.58583698304867,none,own,2,skilled,1,none,yes,bad,7
no checking,15,existing paid,new car,3556,no known savings,1<=X<4,3,male div/sep,none,2,no known property,24.58583698304867,none,own,1,skilled,1,none,yes,good,7
0<=X<200,12,critical/other existing credit,new car,1995,100<=X<500,<1,4,male div/sep,none,1,car,24.58583698304867,none,own,1,skilled,1,none,yes,good,7
<0,9,existing paid,furniture/equipment,2136,<100,1<=X<4,3,male div/sep,none,2,real estate,24.58583698304867,none,own,1,skilled,1,none,yes,good,7
no checking,12,existing paid,radio/tv,776,<100,1<=X<4,4,male div/sep,none,2,real estate,24.58583698304867,none,own,1,skilled,1,none,yes,good,7
0<=X<200,6,existing paid,radio/tv,1068,<100,>=7,4,male div/sep,none,4,car,24.58583698304867,none,own,1,skilled,2,none,yes,good,7
>=200,4,existing paid,new car,1494,no known savings,<1,1,male div/sep,none,2,real estate,24.58583698304867,none,own,1,skilled,2,none,no,good,7
<0,48,existing paid,used car,4788,<100,4<=X<7,4,male div/sep,none,3,life insurance,24.58583698304867,none,own,1,skilled,2,none,yes,good,7
<0,24,critical/other existing credit,business,1382,100<=X<500,4<=X<7,4,male div/sep,none,1,real estate,24.58583698304867,none,own,2,skilled,1,yes,yes,good,7
0<=X<200,6,existing paid,radio/tv,590,<100,<1,3,male div/sep,none,3,real estate,24.58583698304867,none,own,1,skilled,1,none,no,good,7
no checking,6,critical/other existing credit,radio/tv,1554,<100,4<=X<7,1,male div/sep,none,2,car,24.58583698304867,none,rent,2,skilled,1,yes,yes,good,7
<0,21,existing paid,radio/tv,1835,<100,1<=X<4,3,male div/sep,none,2,real estate,24.58583698304867,none,own,2,skilled,1,yes,yes,bad,7
0<=X<200,12,existing paid,radio/tv,1158,500<=X<1000,1<=X<4,3,male div/sep,none,1,car,24.58583698304867,none,own,1,skilled,1,yes,yes,good,7
0<=X<200,20,delayed previously,other,2629,<100,1<=X<4,2,male div/sep,none,3,car,24.58583698304867,bank,own,2,skilled,1,yes,yes,good,7
no checking,24,existing paid,used car,2679,<100,<1,4,male div/sep,none,1,no known property,24.58583698304867,none,own,1,skilled,1,yes,yes,good,7
0<=X<200,36,existing paid,radio/tv,2323,<100,4<=X<7,4,male div/sep,none,4,car,24.58583698304867,none,rent,1,skilled,1,none,yes,good,7
<0,10,critical/other existing credit,new car,1038,<100,4<=X<7,4,female div/dep/mar,co applicant,3,life insurance,49.315364608554496,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good,8
no checking,21,existing paid,furniture/equipment,2241,<100,>=7,4,female div/dep/mar,none,2,real estate,49.315364608554496,none,own,2,high qualif/self emp/mgmt,1,none,yes,good,8
no checking,12,critical/other existing credit,education,2096,<100,4<=X<7,2,female div/dep/mar,none,3,real estate,49.315364608554496,none,own,1,high qualif/self emp/mgmt,2,none,yes,good,8
0<=X<200,30,critical/other existing credit,furniture/equipment,8386,<100,4<=X<7,2,female div/dep/mar,none,2,life insurance,49.315364608554496,none,own,1,high qualif/self emp/mgmt,1,none,yes,bad,8
<0,24,existing paid,used car,2964,no known savings,>=7,4,female div/dep/mar,none,4,no known property,49.315364608554496,bank,for free,1,high qualif/self emp/mgmt,2,yes,yes,good,8
no checking,12,critical/other existing credit,furniture/equipment,5801,no known savings,>=7,2,female div/dep/mar,none,4,life insurance,49.315364608554496,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,good,8
0<=X<200,36,existing paid,radio/tv,2671,100<=X<500,1<=X<4,4,female div/dep/mar,co applicant,4,no known property,49.315364608554496,none,for free,1,high qualif/self emp/mgmt,1,none,yes,bad,8
0<=X<200,15,critical/other existing credit,radio/tv,1537,no known savings,>=7,4,female div/dep/mar,guarantor,4,real estate,49.315364608554496,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good,8
>=200,30,critical/other existing credit,radio/tv,3656,no known savings,>=7,4,female div/dep/mar,none,4,life insurance,49.315364608554496,stores,own,2,high qualif/self emp/mgmt,1,none,yes,good,8
no checking,12,existing paid,furniture/equipment,1574,<100,1<=X<4,4,female div/dep/mar,none,2,real estate,49.315364608554496,none,own,1,high qualif/self emp/mgmt,1,none,yes,good,8
no checking,24,critical/other existing credit,furniture/equipment,3777,>=1000,1<=X<4,4,female div/dep/mar,none,4,real estate,49.315364608554496,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good,8
0<=X<200,12,critical/other existing credit,new car,3124,<100,<1,1,female div/dep/mar,none,3,real estate,49.315364608554496,bank,own,2,high qualif/self emp/mgmt,2,none,yes,good,8
<0,48,existing paid,education,7476,<100,4<=X<7,4,female div/dep/mar,none,1,no known property,49.315364608554496,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,good,8
<0,27,no credits/all paid,business,5293,<100,unemployed,2,female div/dep/mar,none,4,life insurance,49.315364608554496,stores,own,2,high qualif/self emp/mgmt,1,yes,yes,bad,8
<0,12,existing paid,furniture/equipment,1262,no known savings,>=7,2,female div/dep/mar,none,4,life insurance,49.315364608554496,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good,8
0<=X<200,48,delayed previously,education,6224,<100,>=7,4,female div/dep/mar,none,4,no known property,49.315364608554496,none,for free,1,high qualif/self emp/mgmt,1,none,yes,bad,8
>=200,6,critical/other existing credit,education,1047,<100,1<=X<4,2,female div/dep/mar,none,4,life insurance,49.315364608554496,none,own,1,high qualif/self emp/mgmt,1,none,yes,good,8
no checking,24,all paid,business,1559,<100,4<=X<7,4,female div/dep/mar,none,4,car,49.315364608554496,bank,own,1,high qualif/self emp/mgmt,1,yes,yes,good,8
no checking,6,existing paid,used car,1236,500<=X<1000,1<=X<4,2,female div/dep/mar,none,4,life insurance,49.315364608554496,none,rent,1,high qualif/self emp/mgmt,1,none,yes,good,8
no checking,12,existing paid,new car,2390,no known savings,>=7,4,female div/dep/mar,none,3,car,49.315364608554496,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good,8
0<=X<200,13,existing paid,radio/tv,2101,<100,<1,2,male mar/wid,guarantor,4,life insurance,22.76672613296816,none,own,1,skilled,1,none,yes,good,11
>=200,10,existing paid,furniture/equipment,1275,<100,<1,4,male mar/wid,none,2,life insurance,22.76672613296816,none,own,1,skilled,1,none,yes,good,11
<0,24,existing paid,new car,1442,<100,4<=X<7,4,male mar/wid,none,4,car,22.76672613296816,none,rent,2,skilled,1,none,yes,bad,11
no checking,36,critical/other existing credit,furniture/equipment,7127,<100,<1,2,male mar/wid,none,4,life insurance,22.76672613296816,none,rent,2,skilled,1,yes,yes,bad,11
0<=X<200,18,existing paid,used car,2779,<100,1<=X<4,1,male mar/wid,none,3,car,22.76672613296816,none,rent,1,skilled,1,yes,yes,good,11
0<=X<200,48,existing paid,business,15672,<100,1<=X<4,2,male mar/wid,none,2,car,22.76672613296816,none,own,1,skilled,1,yes,yes,bad,11
<0,45,existing paid,radio/tv,1845,<100,1<=X<4,4,male mar/wid,none,4,no known property,22.76672613296816,none,for free,1,skilled,1,yes,yes,bad,11
no checking,6,existing paid,repairs,660,500<=X<1000,4<=X<7,2,male mar/wid,none,4,real estate,22.76672613296816,none,rent,1,skilled,1,none,yes,good,11
no checking,60,existing paid,radio/tv,10144,100<=X<500,4<=X<7,2,male mar/wid,none,4,real estate,22.76672613296816,none,own,1,skilled,1,yes,yes,good,11
0<=X<200,48,existing paid,radio/tv,5951,<100,1<=X<4,2,male mar/wid,none,2,real estate,22.76672613296816,none,own,1,skilled,1,none,yes,bad,11
<0,24,existing paid,business,6568,<100,1<=X<4,2,male mar/wid,none,2,car,22.76672613296816,stores,own,1,skilled,1,none,yes,good,11
0<=X<200,13,critical/other existing credit,radio/tv,882,<100,<1,4,male mar/wid,guarantor,4,real estate,22.76672613296816,none,own,2,skilled,1,none,yes,good,11
<0,18,existing paid,new car,1216,<100,<1,4,male mar/wid,none,3,car,22.76672613296816,none,rent,1,skilled,1,yes,yes,bad,11
<0,9,existing paid,radio/tv,1366,<100,<1,3,male mar/wid,none,4,life insurance,22.76672613296816,none,rent,1,skilled,1,none,yes,bad,11
<0,12,existing paid,new car,900,no known savings,1<=X<4,4,male mar/wid,none,2,car,22.76672613296816,none,own,1,skilled,1,none,yes,bad,11
<0,36,critical/other existing credit,furniture/equipment,6229,<100,<1,4,male mar/wid,co applicant,4,no known property,22.76672613296816,none,rent,2,skilled,1,yes,yes,bad,11
0<=X<200,24,existing paid,used car,11560,<100,1<=X<4,1,male mar/wid,none,4,car,22.76672613296816,none,rent,2,skilled,1,none,yes,bad,11
no checking,9,existing paid,domestic appliance,1236,<100,<1,1,male mar/wid,none,4,real estate,22.76672613296816,none,rent,1,skilled,1,yes,yes,good,11
no checking,21,critical/other existing credit,furniture/equipment,2288,<100,<1,4,male mar/wid,none,4,life insurance,22.76672613296816,none,own,1,skilled,1,yes,yes,good,11
no checking,15,critical/other existing credit,used car,3368,>=1000,>=7,3,male mar/wid,none,4,no known property,22.76672613296816,none,rent,2,skilled,1,yes,yes,good,11
no checking,30,critical/other existing credit,radio/tv,5954,<100,4<=X<7,3,female div/dep/mar,co applicant,2,car,37.38234963851049,none,own,1,skilled,1,none,yes,good,12
no checking,48,critical/other existing credit,used car,2751,no known savings,>=7,4,female div/dep/mar,none,3,car,37.38234963851049,none,own,2,skilled,2,yes,yes,good,12
0<=X<200,24,delayed previously,business,4712,no known savings,1<=X<4,4,female div/dep/mar,none,2,life insurance,37.38234963851049,bank,own,2,skilled,1,yes,yes,good,12
<0,12,critical/other existing credit,new car,2171,<100,1<=X<4,4,female div/dep/mar,none,4,life insurance,37.38234963851049,bank,own,2,skilled,1,none,no,good,12
no checking,24,critical/other existing credit,new car,2022,<100,1<=X<4,4,female div/dep/mar,none,4,car,37.38234963851049,none,own,1,skilled,1,yes,yes,good,12
no checking,4,critical/other existing credit,new car,3380,<100,4<=X<7,1,female div/dep/mar,none,1,real estate,37.38234963851049,none,own,1,skilled,2,none,yes,good,12
<0,12,existing paid,furniture/equipment,708,<100,1<=X<4,2,female div/dep/mar,guarantor,3,life insurance,37.38234963851049,none,own,1,skilled,2,none,yes,good,12
0<=X<200,12,existing paid,retraining,754,no known savings,>=7,4,female div/dep/mar,none,4,life insurance,37.38234963851049,none,own,2,skilled,1,none,yes,good,12
no checking,10,existing paid,radio/tv,1924,<100,1<=X<4,1,female div/dep/mar,none,4,life insurance,37.38234963851049,none,own,1,skilled,1,yes,no,good,12
0<=X<200,36,existing paid,new car,12389,no known savings,1<=X<4,1,female div/dep/mar,none,4,no known property,37.38234963851049,none,for free,1,skilled,1,yes,yes,bad,12
no checking,24,existing paid,radio/tv,1533,<100,<1,4,female div/dep/mar,none,3,car,37.38234963851049,stores,own,1,skilled,1,yes,yes,good,12
no checking,12,critical/other existing credit,radio/tv,1240,no known savings,>=7,4,female div/dep/mar,none,2,real estate,37.38234963851049,none,own,2,skilled,1,yes,yes,good,12
no checking,12,critical/other existing credit,new car,1495,<100,>=7,4,female div/dep/mar,none,1,real estate,37.38234963851049,none,own,2,skilled,2,none,yes,good,12
no checking,36,critical/other existing credit,new car,3535,<100,4<=X<7,4,female div/dep/mar,none,4,car,37.38234963851049,none,own,2,skilled,1,yes,yes,good,12
no checking,48,existing paid,radio/tv,10222,no known savings,4<=X<7,4,female div/dep/mar,none,3,car,37.38234963851049,stores,own,1,skilled,1,yes,yes,good,12
>=200,10,existing paid,new car,3949,<100,<1,1,female div/dep/mar,guarantor,1,life insurance,37.38234963851049,none,own,1,skilled,2,none,yes,good,12
no checking,24,critical/other existing credit,new car,1287,>=1000,>=7,4,female div/dep/mar,none,4,real estate,37.38234963851049,none,own,2,skilled,1,yes,yes,good,12
0<=X<200,9,critical/other existing credit,radio/tv,1154,<100,>=7,2,female div/dep/mar,none,4,real estate,37.38234963851049,none,own,3,skilled,1,none,yes,good,12
<0,48,all paid,business,7685,<100,4<=X<7,2,female div/dep/mar,guarantor,4,car,37.38234963851049,none,rent,1,skilled,1,none,yes,bad,12
no checking,12,critical/other existing credit,furniture/equipment,1402,500<=X<1000,4<=X<7,3,female div/dep/mar,none,4,car,37.38234963851049,none,rent,1,skilled,1,yes,yes,good,12
0<=X<200,6,delayed previously,new car,1209,<100,unemployed,4,male div/sep,none,4,life insurance,47.71881408267102,none,own,1,skilled,1,yes,yes,bad,13
no checking,36,delayed previously,new car,10875,<100,>=7,2,male div/sep,none,2,car,47.71881408267102,none,own,2,skilled,2,yes,yes,good,13
no checking,12,existing paid,new car,3527,no known savings,<1,2,male div/sep,none,3,life insurance,47.71881408267102,none,own,1,skilled,2,yes,yes,good,13
no checking,48,critical/other existing credit,business,7629,no known savings,>=7,4,male div/sep,none,2,car,47.71881408267102,bank,own,2,skilled,2,none,yes,good,13
no checking,24,existing paid,used car,9277,no known savings,1<=X<4,2,male div/sep,none,4,no known property,47.71881408267102,none,for free,1,skilled,1,yes,yes,good,13
0<=X<200,36,existing paid,education,12612,100<=X<500,1<=X<4,1,male div/sep,none,4,no known property,47.71881408267102,none,for free,1,skilled,2,yes,yes,bad,13
0<=X<200,12,critical/other existing credit,new car,958,<100,4<=X<7,2,male div/sep,none,3,real estate,47.71881408267102,none,own,2,skilled,2,none,yes,good,13
0<=X<200,21,delayed previously,new car,2353,<100,1<=X<4,1,male div/sep,none,4,life insurance,47.71881408267102,none,own,2,skilled,1,none,yes,good,13
no checking,7,critical/other existing credit,radio/tv,730,no known savings,>=7,4,male div/sep,none,2,life insurance,47.71881408267102,none,rent,2,skilled,1,yes,yes,good,13
no checking,21,existing paid,used car,2476,no known savings,>=7,4,male div/sep,none,4,real estate,47.71881408267102,none,own,1,skilled,1,yes,yes,good,13
